method	shape	t	py_version	npy_version	pandas_version	vigra_version	host	platform	mem_min	mem_max
vigra_bincount(data)	(2048, 1024, 1)	0.028502744666639046	3.12.5	1.26.4	2.2.2	1.11.1	Dominik's xps13 i7	Linux-5.15.0-117-generic-x86_64-with-glibc2.31	8091	8424288
vigra_bincount(data)	(512, 512, 32)	0.11459644999998393	3.12.5	1.26.4	2.2.2	1.11.1	Dominik's xps13 i7	Linux-5.15.0-117-generic-x86_64-with-glibc2.31	12505	33595811
vigra_bincount(data)	(1024, 1024, 256)	3.63760358999995	3.12.5	1.26.4	2.2.2	1.11.1	Dominik's xps13 i7	Linux-5.15.0-117-generic-x86_64-with-glibc2.31	109860	1073880621
pandas_bincount(data)	(512, 128, 1)	0.0009676583332899705	3.12.5	1.26.4	2.2.2	1.11.1	Dominik's xps13 i7	Linux-5.15.0-117-generic-x86_64-with-glibc2.31	982	1073269
pandas_bincount(data)	(1024, 512, 1)	0.0028109333333456257	3.12.5	1.26.4	2.2.2	1.11.1	Dominik's xps13 i7	Linux-5.15.0-117-generic-x86_64-with-glibc2.31	982	8470679
pandas_bincount(data)	(2048, 1024, 1)	0.009720879333296276	3.12.5	1.26.4	2.2.2	1.11.1	Dominik's xps13 i7	Linux-5.15.0-117-generic-x86_64-with-glibc2.31	12273	33844410
pandas_bincount(data)	(512, 512, 32)	0.0380808893333627	3.12.5	1.26.4	2.2.2	1.11.1	Dominik's xps13 i7	Linux-5.15.0-117-generic-x86_64-with-glibc2.31	7299	135289124
pandas_bincount(data)	(1024, 1024, 256)	1.1865479523333609	3.12.5	1.26.4	2.2.2	1.11.1	Dominik's xps13 i7	Linux-5.15.0-117-generic-x86_64-with-glibc2.31	22958	4328559137
numpy_ufunc_bincount(data)	(512, 128, 1)	0.00020159933334677285	3.12.5	1.26.4	2.2.2	1.11.1	Dominik's xps13 i7	Linux-5.15.0-117-generic-x86_64-with-glibc2.31	296	346854
numpy_ufunc_bincount(data)	(1024, 512, 1)	0.001332503666693204	3.12.5	1.26.4	2.2.2	1.11.1	Dominik's xps13 i7	Linux-5.15.0-117-generic-x86_64-with-glibc2.31	296	2181896
numpy_ufunc_bincount(data)	(2048, 1024, 1)	0.005299550000017916	3.12.5	1.26.4	2.2.2	1.11.1	Dominik's xps13 i7	Linux-5.15.0-117-generic-x86_64-with-glibc2.31	6767	8480994
numpy_ufunc_bincount(data)	(512, 512, 32)	0.02190898133335395	3.12.5	1.26.4	2.2.2	1.11.1	Dominik's xps13 i7	Linux-5.15.0-117-generic-x86_64-with-glibc2.31	6658	33662123
numpy_ufunc_bincount(data)	(1024, 1024, 256)	0.6968337393333665	3.12.5	1.26.4	2.2.2	1.11.1	Dominik's xps13 i7	Linux-5.15.0-117-generic-x86_64-with-glibc2.31	28192	1073870548
numba_bincount(data)	(512, 128, 1)	0.0282695403333643	3.12.5	1.26.4	2.2.2	1.11.1	Dominik's xps13 i7	Linux-5.15.0-117-generic-x86_64-with-glibc2.31	1066928	1384894
numba_bincount(data)	(1024, 512, 1)	0.028730114999992413	3.12.5	1.26.4	2.2.2	1.11.1	Dominik's xps13 i7	Linux-5.15.0-117-generic-x86_64-with-glibc2.31	1063965	3218329
numba_bincount(data)	(2048, 1024, 1)	0.029844806666687873	3.12.5	1.26.4	2.2.2	1.11.1	Dominik's xps13 i7	Linux-5.15.0-117-generic-x86_64-with-glibc2.31	1049823	9502365
numba_bincount(data)	(512, 512, 32)	0.04774932799993318	3.12.5	1.26.4	2.2.2	1.11.1	Dominik's xps13 i7	Linux-5.15.0-117-generic-x86_64-with-glibc2.31	1051760	34670362
numba_bincount(data)	(1024, 1024, 256)	0.25067189166672205	3.12.5	1.26.4	2.2.2	1.11.1	Dominik's xps13 i7	Linux-5.15.0-117-generic-x86_64-with-glibc2.31	1067792	1074864559
